
Bushido Martial Arts Supplies,www.8887757766.yp.ca,,1-888-775-7766,3-9670 188 Street,Surrey,BC ,V4N 3M2,martial+arts
Shima Karate School,www.2502401461.yp.ca,,250-240-1461,132 Jensen Avenue West,Parksville,BC ,V9P 1L9,martial+arts
Outreach Martial Arts School,www.2502454854.yp.ca,,250-245-4854,Bayview Po Box 205,Ladysmith,BC ,V9G 1A2,martial+arts
North Cariboo Tae Kwon Do,www.2502495899.yp.ca,,250-249-5899,2297 Blackwater Road,Quesnel,BC ,V2J 7C7,martial+arts
Pure Self Defence Studios,www.2502866998.yp.ca,,250-286-6998,F-220 Dogwood Street,Campbell River,BC ,V9W 2X9,martial+arts
Canadian Modern Arnis Training Studios,www.2502988000.yp.ca,,250-298-8000,110-2728 Spencer Road,Victoria,BC ,V9B 4C6,martial+arts
Sundance Taekwon-Do,www.2503062285.yp.ca,,250-306-2285,33-100 Kalamalka Lake Road,Vernon,BC ,V1T 9G1,martial+arts
Jeff Viani's Martial Arts Canada,www.2503149982.yp.ca,,250-314-9982,16-1425 Cariboo Place,Kamloops,BC ,V2C 5Z3,martial+arts
Rutland's Family Tae Kwon Do Society,www.2503175886.yp.ca,,250-317-5886,355 Hartman Road,Kelowna,BC ,V1X 2M9,martial+arts
Thompson Valley Taekwon-Do School,www.2503185420.yp.ca,,250-318-5420,1278 Dalhousie Drive,Kamloops,BC ,V2C 6G3,martial+arts
Kenpo Karate School,www.2503395992.yp.ca,,250-339-5992,1747A Comox Avenue,Comox,BC ,V9M 3M2,martial+arts
Pride Gym,www.2503643031.yp.ca,,250-364-3031,900 Spokane Street,Trail,BC ,V1R 4R8,martial+arts
Trail Martial Arts,www.2503683602.yp.ca,,250-368-3602,1265 Bay Avenue,Trail,BC ,V1R 4A5,martial+arts
Physique Fitness Stores,www.2503740080.yp.ca,,250-374-0080,1-1380 Summit Drive,Kamloops,BC ,V2C 1T8,martial+arts
Kamloops Shotokan Karate,www.2503749529.yp.ca,,250-374-9529,603 St Paul Street,Kamloops,BC ,V2C 2K1,martial+arts
Victoria Aikido Centre,www.2503812454.yp.ca,,250-381-2454,690 Sumas Street,Victoria,BC ,V8T 4S6,martial+arts
Studio 4 Athletics,www.2503823687.yp.ca,,250-382-3687,715 Yates Street,Victoria,BC ,V8W 1L6,martial+arts
Kata Trading,www.2503825282.yp.ca,,250-382-5282,670 Herald Street,Victoria,BC ,V8W 1S7,martial+arts
Professional Self Defence,www.professionalselfdefence.com,proself@shaw.ca,250-384-0033,201-1420 Quadra Street,Victoria,BC ,V8W 2L1,martial+arts
Hiddendistance Kung Fu Academy,www.2503845864.yp.ca,,250-384-5864,711B Princess Avenue,Victoria,BC ,V8T 1K5,martial+arts
Kung Fu Club,www.2503863713.yp.ca,,250-386-3713,1620 1/2 Government Street,Victoria,BC ,V8W 1Z3,martial+arts
Peterec's Martial Arts Centre,www.2503896166.yp.ca,,250-389-6166,831 Fisgard Street,Victoria,BC ,V8W 1R9,martial+arts
School Karate Lantzville,www.2503904268.yp.ca,,250-390-4268,1 7217 Lantzville Rd,Lantzville,BC ,V0R 2H0,martial+arts
Goldstream Avenue Taekwondo Academy,www.2503916255.yp.ca,,250-391-6255,A-1096 Goldstream Avenue,Victoria,BC ,V9B 2Y5,martial+arts
Sidekicks Martial Arts Ranch,www.teamsidekicks.ca,sidekickstkd@hotmail.com,250-391-6414,1040 Marwood Avenue,Victoria,BC ,V9C 3C4,martial+arts
Cranbrook Shotokan Karate,www.2504263535.yp.ca,,250-426-3535,42 6th Avenue South,Cranbrook,BC ,V1C 2H3,martial+arts
Clark's Tae Kwon Do Academy,www.2504740055.yp.ca,,250-474-0055,201-2800 Bryn Maur Road,Victoria,BC ,V9B 3T4,martial+arts
Olson's Martial Arts Karate & Boxing Centre,www.2504744424.yp.ca,,250-474-4424,3-1905 Sooke Road,Victoria,BC ,V9B 1V8,martial+arts
Yama Neko Martial Arts,www.2504745434.yp.ca,,250-474-5434,3672 Happy Valley Road,Victoria,BC ,V9C 3X1,martial+arts
Tyron Clark's Martials Arts Canada,www.2504745573.yp.ca,,250-474-5573,Suite 201-2800 Bryn Maur Rd,Langford,BC ,V9B 3T4,martial+arts
Canada's Best Karate,www.canadasbestkarate.com,cbkdojo@telus.net,250-475-2234,3388 Douglas Street,Victoria,BC ,V8Z 3L3,martial+arts
Crusher Combat Sports,www.2504783596.yp.ca,,250-478-3596,4044 Trans Canada Hwy,Langford,BC ,V9B 6H7,martial+arts
Kung Fu Academy,www.victoriakungfu.com,,250-478-5889,863 Station Avenue,Victoria,BC ,V9B 2S2,martial+arts
Personal Protection Systems Inc,www.2504789119.yp.ca,,250-478-9119,2611 Rainville Road,Victoria,BC ,V9B 3N2,martial+arts
Omac Martial Arts,www.2504797686.yp.ca,,250-479-7686,3950 Quadra Street,Saanich,BC ,V8X 1J6,martial+arts
Island Mma Training Center Ltd,www.2504798525.yp.ca,,250-479-8525,102-4480 West Saanich Road,Victoria,BC ,V8Z 3E9,martial+arts
Kelowna Judo Club,www.2504917855.yp.ca,,250-491-7855,710 Evans Court,Kelowna,BC ,V1X 6G4,martial+arts
Premier Martial Arts Inc,www.2504922993.yp.ca,,250-492-2993,304-1475 Fairview Road,Penticton,BC ,V2A 7W5,martial+arts
Valley Wide Tae Kwon Do,www.2504938765.yp.ca,,250-493-8765,104-132 Industrial Court,Penticton,BC ,V2A 7N9,martial+arts
Trail Martial Arts,www.2505121511.yp.ca,,250-512-1511,115 Kootenay Avenue,Trail,BC ,V1R 1H3,martial+arts
Taoist Tai Chi Society Of Canada,www.2505421822.yp.ca,,250-542-1822,3105 28 Street,Vernon,BC ,V1T 4Z7,martial+arts
Hassan's Taekwondo,www.2505423344.yp.ca,,250-542-3344,Bsmt-3704 32 Street,Vernon,BC ,V1T 5N6,martial+arts
Vernon Japanese Cultural Society,www.2505454162.yp.ca,,250-545-4162,Po Box 566 Stn Main,Vernon,BC ,V1T 6M4,martial+arts
Kees Tae Kwon Do,www.2505457710.yp.ca,,250-545-7710,3204 29 Street,Vernon,BC ,V1T 5B1,martial+arts
Canadian Martial Arts,www.2505493429.yp.ca,,250-549-3429,201-1710 Kosmina Road,Vernon,BC ,V1T 8T2,martial+arts
Unity Martial Arts Centre,www.2505504295.yp.ca,,250-550-4295,3315 30 Avenue,Vernon,BC ,V1T 2C9,martial+arts
Aikido Plus World Super Moves Cross Training,www.2505540260.yp.ca,,250-554-0260,1021 Desmond Street,Kamloops,BC ,V2B 5K9,martial+arts
Kamloops Judo Club,www.2505541742.yp.ca,,250-554-1742,1080 Kenora,Kamloops,BC,,martial+arts
Horizon Tae Kwon Do Total Fitness,www.horizon-tkd.com,,250-561-2133,1116 6th Avenue,Prince George,BC ,V2L 3M6,martial+arts
North Capital Judo,www.2505640347.yp.ca,,250-564-0347,835 Central Street West,Prince George,BC ,V2M 3C8,martial+arts
Korean Hapkido Institute Est 1968,www.2505640574.yp.ca,,250-564-0574,1175 Village Avenue,Prince George,BC ,V2L 4L2,martial+arts
Freedom Taekwon-Do Schools,www.freedomtkd.ca,Mr.O@freedomtkd.ca,250-564-2565,101-3845 15th Avenue,Prince George,BC ,V2N 1A4,martial+arts
Practical Tactical & Martial Arts Supply,www.2505646655.yp.ca,,250-564-6655,185 Dominion Street,Prince George,BC ,V2L 1T2,martial+arts
Canada's Best Karate,www.2505906019.yp.ca,,250-590-6019,105-777 Goldstream Avenue,Victoria,BC ,V9B 2X4,martial+arts
Dragon Impact,www.2505908880.yp.ca,,250-590-8880,B-764 Yates Street,Victoria,BC ,V8W 1L4,martial+arts
Nanaimo Martial Arts Supply,www.2505910109.yp.ca,,250-591-0109,14 Lois Lane,Nanaimo,BC ,V9R 5B8,martial+arts
Final Round Martial Arts,www.2505974537.yp.ca,,250-597-4537,301 Brae Road,Duncan,BC ,V9L 3T9,martial+arts
Prince Rupert Tae Kwon Do,www.2506245425.yp.ca,,250-624-5425,170-309 2nd Avenue West,Prince Rupert,BC ,V8J 3T1,martial+arts
Atlantis Tae Kwon Do,www.2506359608.yp.ca,,250-635-9608,4552 Lakelse Avenue,Terrace,BC ,V8G 1P8,martial+arts
Northern Academie Of Self Defence-Judo & Ju-Jitsu,www.2506381377.yp.ca,,250-638-1377,5043 Keith Avenue,Terrace,BC ,V8G 1K8,martial+arts
Prince George Judo,www.2506490051.yp.ca,,250-649-0051,Bsmt-1363 4th Avenue,Prince George,BC ,V2L 3J6,martial+arts
Puckett's Noble House of Karate Ltd,www.2506561558.yp.ca,,250-656-1558,9182 East Saanich Road,North Saanich,BC ,V8L 1H7,martial+arts
Island Kung-Fu,www.2507010222.yp.ca,,250-701-0222,750B Jubilee Street,Duncan,BC ,V9L 1X8,martial+arts
Warrior's Realm Muay Thai & MMA Academy,www.2507030092.yp.ca,,250-703-0092,2785 Mansfield Drive,Courtenay,BC ,V9N 2M2,martial+arts
Deveau Martial Arts,www.deveaumartialarts.com,,250-710-7901,3575 Dougan Drive RR 2,Cobble Hill,BC ,V0R 1L2,martial+arts
Dragon Martial Arts Academy,www.2507209556.yp.ca,,250-720-9556,2984 3rd Avenue,Port Alberni,BC ,V9Y 2A7,martial+arts
Braefoot Community Association,www.braefoot.ca,info@braefoot.ca,250-721-2244,1359 McKenzie Avenue,Victoria,BC ,V8P 2M1,martial+arts
Southside Mixed Martial Arts,www.2507224788.yp.ca,,250-722-4788,2161 Walsh Rd,Nanaimo,BC ,V9X 1R1,martial+arts
Coastal Martial Arts Assn,www.2507245805.yp.ca,,250-724-5805,5100 Tebo Avenue,Port Alberni,BC ,V9Y 5Y6,martial+arts
Westcoast Taekwon-Do,www.victoriataekwondo.com,,250-727-7766,3-4011 Quadra Street,Victoria,BC ,V8X 1K1,martial+arts
Law's Institute Of Self Defense,www.2507468435.yp.ca,,250-746-8435,361 Festubert Street,Duncan,BC ,V9L 3T1,martial+arts
Duncan Martial Arts Studio,www.2507480633.yp.ca,,250-748-0633,450 Whistler Street,Duncan,BC ,V9L 3P6,martial+arts
Fernando Correia School Of Karate,www.2507489111.yp.ca,,250-748-9111,2687 James Street,Duncan,BC ,V9L 2X5,martial+arts
Nanaimo Tae Kwon Do Club,www.2507511585.yp.ca,,250-751-1585,F-2301 McCullough Road,Nanaimo,BC ,V9S 4M9,martial+arts
Nanaimo Shotokan Karate-Do Assn,www.2507513700.yp.ca,,250-751-3700,Po Box 864 Stn A,Nanaimo,BC ,V9R 1P9,martial+arts
Toushikan Martial Arts,www.2507529283.yp.ca,,250-752-9283,1291 Centre Road,Qualicum Beach,BC ,V9K 2G3,martial+arts
Nanaimo Judo Club,www.2507541444.yp.ca,,250-754-1444,110 Machleary,Nanaimo,BC ,V9R 2G5,martial+arts
Pure Self Defence Studios,www.2507546996.yp.ca,,250-754-6996,1722 Bowen Road,Nanaimo,BC ,V9S 1G9,martial+arts
Shima Karate School,www.2507561055.yp.ca,,250-756-1055,7-4286 Departure Bay Road,Nanaimo,BC ,V9T 5K7,martial+arts
World Tae Kwon Do Kumdo & Hapkido,www.2507600119.yp.ca,,250-760-0119,307-4300 Wellington Road,Nanaimo,BC ,V9T 2H3,martial+arts
Kung Fu Academy,www.2507624754.yp.ca,,250-762-4754,2243A Leckie Road,Kelowna,BC ,V1X 6Y5,martial+arts
Kees Tae Kwon Do,www.2507625572.yp.ca,,250-762-5572,228-1891 Springfield Road,Kelowna,BC ,V1Y 5V5,martial+arts
Jiu-Jitsu Academy,www.2507658868.yp.ca,,250-765-8868,140 Rutland Road South,Kelowna,BC ,V1X 2Z4,martial+arts
Kees Tae Kwon Do,www.2507665753.yp.ca,,250-766-5753,4-10074 Highway 97,Winfield,BC ,V4V 1P7,martial+arts
