"20/20 Eye Care","204-953-2020","2-835 Dakota Street , Winnipeg , MB R2M 5M2","www.2049532020.yp.ca",,doctor
"20/20 Eye Care","204-953-2020","","www.2049532020.yp.ca",,doctor
"20/20 Eye Care","204-953-2020","","www.2049532020.yp.ca",,doctor
"651 Corydon Glass Blowing Studio","204-415-1062","651 Corydon Avenue , Winnipeg , MB R3M 0W3","www.bayshoregiftsinglass.com",,doctor
"A-1 Garage Door Doctors","204-222-7943","118 Melrosew MB ","www.2042227943.yp.ca",,doctor
"A A A Archibald Storage","204-231-2966","223 Archibald Street , Winnipeg , MB R2J 0W5","www.2042312966.yp.ca",,doctor
"AAA Downtown Dental Clinic","204-958-4650","101-400 St Mary Avenue , Winnipeg , MB R3C 4K5","www.2049584650.yp.ca",,doctor
"AA Clean Line/Sewer & Drain","1-866-789-8866","Winnipeg , MB ","www.8667898866.yp.ca",,doctor
"AAHC-Ankang Acupuncture Healing Centre","204-775-2266","689 St Mary's Road , Winnipeg , MB R2M 3M8","www.2047752266.yp.ca",,doctor
"AAOW Anaesthesia Medical Corporation","204-775-6967","849 Notre Dame Avenue , Winnipeg , MB R3E 0M4","www.2047756967.yp.ca",,doctor
"A Ashique Dr","204-943-7200","Winnipegsquare , Winnipeg , MB ","www.2049437200.yp.ca",,doctor
"A Ashique Dr","204-943-7200","Winnipegsquare MB ","www.2049437200.yp.ca",,doctor
"Abdulrehman A S Dr","204-255-3998","200 St Anne's Road , Winnipeg , MB R2M 3A1","www.2042553998.yp.ca",,doctor
"Abell Medical Clinic","204-824-2327","134 1st St MB R0K 2G0","www.2048242327.yp.ca",,doctor
"Abells Jerry","204-477-5337","Suite A-1382 Henderson , Nkld ","www.2044775337.yp.ca",,doctor
"Abells Jerry Dr","204-477-5337","1382A Henderson Highway , Winnipeg , MB R2G 1M8","www.2044775337.yp.ca",,doctor
"Abells Jerry Dr","204-477-5337","Suite A-1382 Henderson , North Kildonan , MB ","www.2044775337.yp.ca",,doctor
"Abells Jerry Dr","204-477-5337","Suite A-1382 Henderson MB ","www.2044775337.yp.ca",,doctor
"Abells Jerry Dr & Jacob Lanny Dr","204-477-5337","1382A Henderson Highway , Winnipeg , MB R2G 1M8","www.2044775337.yp.ca",,doctor
"Abe's Cylinder Head Clinic","204-326-4424","114 Millwork Dr MB ","www.2043264424.yp.ca",,doctor
"Absolute Heaven Hot Tub Rentals","204-996-3778","","www.2049963778.yp.ca",,doctor
"Academy Dental Group","204-925-6800","435 Academy Road , Winnipeg , MB R3N 0C2","www.2049256800.yp.ca",,doctor
"Academy Dental Group","204-925-6800","","www.2049256800.yp.ca",,doctor
"Academy Dental Group","204-925-6800","","www.2049256800.yp.ca",,doctor
"Academy Dental Group","204-925-6800","","www.2049256800.yp.ca",,doctor
